분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A 광물산업_3 유리생산,57.38437,76.70012,86.16175,94.51709,99.29119,100.64028,111.64352,123.14219,89.05477,91.4568,109.66709,121.58086,113.59519,128.01883,131.28465,129.4707,138.9702,136.4701,143.6151,115.5753,223.6312,240.8792,197.291,211.0405,212.7109,226.7417,254.0239,248.7645,302.58693,272.4258,253.46661,255.48519,260.46944
A 광물산업_4 탄산염의 기타 공정 사용,201.64411,189.76777,214.9626,204.24936,241.19746,253.07844,253.11837,243.00458,201.45624,372.05717,434.49059,499.16101,508.38613,531.80501,583.17945,611.43248,601.17968,736.60098,742.26999,815.71388,846.05713,899.74047,956.15517,950.86372,984.02059,1132.15285,1164.77648,1212.75839,1148.61968,1004.32772,1034.75499,1018.54401,971.58484
B 화학산업,6311.9599,8121.26273,11592.09313,12690.56789,13846.278,14526.27406,15281.84044,18174.87358,19887.94904,20462.93488,20067.89738,24813.27255,25102.12263,25733.45422,26754.50862,28404.27772,29699.09334,25041.25196,24489.76285,23197.01606,23577.68778,24608.64373,26019.05845,25438.84195,26295.17276,27049.43276,29344.99691,30441.04368,30590.60998,29835.88563,28385.47576,32066.41547,31277.03392
B 화학산업_1 암모니아 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_2 질산 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_3 아디브산 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B 화학산업_4 카프로락탐, 글리옥살, 글리옥실산 생산",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_5 카바이드 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_6 이산화티타늄 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_7 소다회 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_8 석유화학제품 및 카본블랙 생산,5254.07766,7073.38826,10453.71987,11699.36431,12373.06273,12946.64093,13753.86992,16872.11567,18615.07872,19232.8717,19093.99313,23796.35822,24637.33572,25407.62155,26340.87184,28004.86633,29483.37842,24821.81817,24266.15885,22986.60773,23372.73121,24534.18786,26017.25005,25437.06875,26293.44906,27047.85646,29343.44041,30439.47838,30589.28118,29834.68619,28384.29348,32065.33307,31276.03072
